# Time (s),Angle of attack (°),Drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,mul,AoA (rads)
0,90,0.44178,0,NaN,NaN,,0,1.570796327
0.01,90,0.44218,0,NaN,NaN,,0,1.570796327
0.02,88.391,0.44254,2.42E-05,NaN,NaN,,5.46843E-05,1.542713979
0.03,86.178,0.44279,3.17E-04,NaN,NaN,,0.000715915,1.504089843
0.04,83.661,0.44289,0.0014095,NaN,NaN,,0.003182506,1.460159906
0.05,81.146,0.44283,0.0037352,NaN,NaN,,0.00843484,1.416264875
0.06,78.808,0.44148,0.007321,NaN,NaN,,0.016582858,1.375459077
0.07,76.556,0.44004,0.012319,NaN,NaN,,0.027995182,1.336154262
# Event LIFTOFF occurred at t=0.08 seconds,,,,,,,,
0.08,74.39,0.43852,0.018719,NaN,NaN,,0.042686765,1.298350431
0.09,72.313,0.43694,0.026445,NaN,NaN,,0.060523184,1.262099942
0.1,70.323,0.43531,0.03537,NaN,NaN,,0.081252441,1.22736789
0.11,68.129,0.4346,0.047121,NaN,NaN,,0.108423838,1.189075366
0.12,65.983,0.4338,0.060506,NaN,NaN,,0.139479023,1.1516206
0.13,63.894,0.43291,0.075342,NaN,NaN,,0.174036174,1.115160672
0.14,61.864,0.43195,0.091432,NaN,NaN,,0.211672647,1.079730488
0.15,59.895,0.43092,0.10856,NaN,NaN,,0.251926112,1.045364955
0.16,57.935,0.42994,0.12706,NaN,NaN,,0.295529609,1.011156502
0.17,56.035,0.42891,0.14625,NaN,NaN,,0.340980625,0.977995246
0.18,54.196,0.42782,0.16592,NaN,NaN,,0.387826656,0.945898641
0.19,52.419,0.42669,0.18584,NaN,NaN,,0.435538681,0.914884141
0.2,50.704,0.42552,0.2058,NaN,NaN,,0.483643542,0.884951744
0.21,49.214,0.42409,0.22345,NaN,NaN,,0.526892877,0.858946338
